check,rows,finding_type,notes,total_rows,pct_rows
duplicate_full_rows,0,observed_fact,Exact duplicate records across all loaded columns.,1417684,0.0
missing_pickup_datetime,0,candidate_expectation,Pickup timestamp is required for any time-aware target or split.,1417684,0.0
missing_dropoff_datetime,0,candidate_expectation,Dropoff timestamp is needed for duration and post-trip validation.,1417684,0.0
non_positive_duration,2699,candidate_expectation,Trips with non-positive duration are invalid-looking for duration modeling.,1417684,0.19
duration_over_24_hours,2,deferred_decision,Very long trips need review before setting an outlier threshold.,1417684,0.0
negative_trip_distance,0,candidate_expectation,Negative distance is invalid-looking.,1417684,0.0
zero_trip_distance,64722,deferred_decision,Zero-distance trips may be invalid or special cases; defer filtering policy.,1417684,4.565
negative_fare_amount,4369,deferred_decision,Negative fares may reflect adjustments; defer policy until target selection.,1417684,0.308
negative_total_amount,4444,deferred_decision,Negative totals may reflect adjustments; defer policy until target selection.,1417684,0.313
missing_pickup_location,0,candidate_expectation,Pickup zone is expected for spatial features and serving examples.,1417684,0.0
missing_dropoff_location,0,candidate_expectation,Dropoff zone is expected for spatial features and serving examples.,1417684,0.0
passenger_count_missing,97991,deferred_decision,Passenger count availability and imputation policy need profiling evidence.,1417684,6.912
passenger_count_zero_or_negative,17304,deferred_decision,Passenger count rules depend on target and serving assumptions.,1417684,1.221
