column,availability,rationale
VendorID,needs_review,Operational field; availability depends on integration design.
lpep_pickup_datetime,serving_candidate,"Likely known before or at request time, subject to product design."
lpep_dropoff_datetime,post_trip_only,Known only after trip completion or payment; avoid as serving input.
store_and_fwd_flag,needs_review,Operational field; availability depends on integration design.
RatecodeID,serving_candidate,"Likely known before or at request time, subject to product design."
PULocationID,serving_candidate,"Likely known before or at request time, subject to product design."
DOLocationID,serving_candidate,"Likely known before or at request time, subject to product design."
passenger_count,serving_candidate,"Likely known before or at request time, subject to product design."
trip_distance,post_trip_only,Known only after trip completion or payment; avoid as serving input.
fare_amount,post_trip_only,Known only after trip completion or payment; avoid as serving input.
extra,post_trip_only,Known only after trip completion or payment; avoid as serving input.
mta_tax,post_trip_only,Known only after trip completion or payment; avoid as serving input.
tip_amount,post_trip_only,Known only after trip completion or payment; avoid as serving input.
tolls_amount,post_trip_only,Known only after trip completion or payment; avoid as serving input.
ehail_fee,post_trip_only,Known only after trip completion or payment; avoid as serving input.
improvement_surcharge,post_trip_only,Known only after trip completion or payment; avoid as serving input.
total_amount,post_trip_only,Known only after trip completion or payment; avoid as serving input.
payment_type,post_trip_only,Known only after trip completion or payment; avoid as serving input.
trip_type,serving_candidate,"Likely known before or at request time, subject to product design."
congestion_surcharge,post_trip_only,Known only after trip completion or payment; avoid as serving input.
source_year,metadata_only,"Local profiling metadata, not a model input."
source_month,metadata_only,"Local profiling metadata, not a model input."
source_period,metadata_only,"Local profiling metadata, not a model input."
cbd_congestion_fee,post_trip_only,Known only after trip completion or payment; avoid as serving input.
trip_duration_minutes,post_trip_only,Known only after trip completion or payment; avoid as serving input.
pickup_date,needs_review,Not classified yet.
pickup_hour,needs_review,Not classified yet.
